ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1593,USA Energy production / consumption / Grid / future technologies,US Fact/Statistics  Production Consumption (by sector) Grid data future technologies,"Catalog,USA",Dataset,https://data.nrel.gov/submissions/all,,,National Renewable Energy Laboratory,
1592,Catalog München,Bevölkerung /Transport/Verkehr / Umwelt/Klima/ Geobasisdaten /Infrastruktur,"Catalog,Deutschland",Dataset,https://www.opengov-muenchen.de/,"CSV,JSON",,München,Matthias Eifert
1590,Lebensdauertabelle Gebäudehülle,,Haushalte,Dataset,https://intern.mieterverband.ch/ldt/objekte.php?Gid=4,,,Mieterverband,
1589,Lebensdauertabelle Heizung Lüftung Klima,,Haushalte,Dataset,https://intern.mieterverband.ch/ldt/objekte.php?Gid=1,,,Mieterverband,
1588,zentrale Warmwasseraufbereitung lebensdauertabelle,,Haushalte,Dataset,https://intern.mieterverband.ch/ldt/objekte.php?Gid=2,,,Mieterverband,
1586,Echtzeitdaten Meteoschweiz,,"Wetter,Echtzeit",Dataset,http://map.geo.admin.ch/?topic=meteoschweiz,,,Meteo Schweiz,@jfisler
1587,Open Data von Meteoschweiz,,"Wetter,Echtzeit",Dataset,http://map.geo.admin.ch/?topic=meteoschweiz,,,Meteo Schweiz,@jfisler
1546,Smart Meters in London,Smart Meter Data Sets,Smart Meter,Dataset,https://www.kaggle.com/jeanmidev/smart-meters-in-london,,,Kaggle,
1585,SCCER – JASM," The Joint Activity Scenarios and Modelling (JASM) aims at providing a set of robust scenarios for the realization of the Swiss Energy Strategy 2050. The modeling groups of the 8 Swiss Competence Centers for Energy Research (SCCER) work together and bring in their respective experience in the field of electricity generation technologies, buildings, mobility, industry, grids, biomass, storage and economy: ",Catalog,Dataset,https://data.sccer-jasm.ch/,,,Jasm SCCER,
1584,Available Transfer Capacity (Europe),,Europe,Dataset,https://www.intraday-capacity.com/php/main.php,,,Intraday Capacity,Matthias Eifert
